Tema;Ramo do direito;Assuntos;Tese Firmada;Anotações NUGEPNAC;Informações Complementares;Repercussão Geral
10;DIREITO ADMINISTRATIVO;(5632) Prescrição e Decadência, (10324) Militar, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (10343) Índice de 28,86% LL 8.622/1993 e 8.627/1993, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;Quanto a prescrição à pretensão dos servidores públicos militares ao reajuste de 28,86%: i) se ajuizada a ação ordinária dos servidores até 30/06/2003, os efeitos financeiros devem retroagir a janeiro de 1993.;Processos destacados de ofício pelo relator.;-;-
11;DIREITO ADMINISTRATIVO;(5632) Prescrição e Decadência, (10324) Militar, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (10344) Índice da URV Lei 8.880/1994, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;Quanto a prescrição à pretensão dos servidores públicos militares ao reajuste de 28,86%: ii) se proposta após 30/06/2003, deve ser aplicado apenas o enunciado da Súmula 85 desta Corte.;Processos destacados de ofício pelo relator.;-;-
12;DIREITO ADMINISTRATIVO;(5632) Prescrição e Decadência, (10324) Militar, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (10345) Índice do IPC  junho/1987, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;Quanto a prescrição à pretensão dos servidores públicos militares ao reajuste de 28,86%: iii) se ajuizada a ação pelo militar após 1º/01/2006, ocorre a prescrição de todas as parcelas devidas ao militar a título de reajuste de 28,86%.;Processos destacados de ofício pelo relator.;-;-
13;DIREITO ADMINISTRATIVO;(10324) Militar, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (10343) Índice de 28,86% LL 8.622/1993 e 8.627/1993, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;A concessão do reajuste de 28,86% deve se limitar ao advento da Medida Provisória n. 2.131, de 28/12/2000, que reestruturou a remuneração dos militares das Forças Armadas, com a absorção das diferenças de reajustes eventualmente existentes.;Processos destacados de ofício pelo relator.;-;Tema 340/STF - Extensão do índice de reajuste de 28,86% aos militares.
14;DIREITO ADMINISTRATIVO;(10219) Servidor Público Civil, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;"Reconhecido o desvio de função, o servidor faz jus às diferenças salariais decorrentes.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
Nos casos de desvio de função, embora o servidor não tenha o direito à promoção para a outra classe da carreira, mas apenas às diferenças vencimentais decorrentes do exercício desviado, tem ele direito aos valores correspondentes aos padrões que, por força de progressão funcional, gradativamente se enquadraria caso efetivamente fosse servidor daquela classe.
";-;Tema 73/STF - Direito de servidor à diferença de remuneração em virtude de desvio de função.
15;DIREITO ADMINISTRATIVO;(10313) Reajustes de Remuneração, Proventos ou Pensão, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, (10318) Índice da URV Lei 8.880/1994;"É obrigatória a observância pelos Estados e Municípios dos critérios previstos na Lei Federal nº 8.880/94 para a conversão em URV dos vencimentos e dos proventos de seus servidores.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).
";-;Tema 5/STF - Compensação da diferença de 11,98%, resultante da conversão em URV dos valores em cruzeiros reais, com o reajuste ocorrido na data-base subseqüente.
16;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(9050) Preparo/Deserção, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9045) Recurso;"O INSS não está obrigado a efetuar depósito prévio do preparo por gozar das prerrogativas e privilégios da Fazenda Pública.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
Descabe exigir do INSS o depósito prévio do preparo para fins de interposição de recurso em ação que tramita perante a Justiça Estadual, podendo a autarquia efetuar o pagamento do preparo ao final da demanda, se vencida.<br />
Vide <b>Controvérsia 62/STJ</b>
";-;-
17;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"A dispensa de reexame necessário, quando o valor da condenação ou do direito controvertido for inferior a sessenta salários mínimos, não se aplica a sentenças ilíquidas.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
É obrigatório o reexame de sentença ilíquida proferida contra a União, os Estados, o Distrito Federal, os Municípios e as respectivas autarquias e fundações de direito público, independentemente do valor atribuído à causa.
";-;-
18;DIREITO PREVIDENCIÁRIO;(6107) Auxílio-Acidente (Art. 86), (195) DIREITO PREVIDENCIÁRIO;"A majoração do auxílio-acidente, estabelecida pela Lei 9.032/95 (lei nova mais benéfica), que alterou o § 1º, do art. 86, da Lei n.º 8.213/91, deve ser aplicada imediatamente, atingindo todos os segurados que estiverem na mesma situação, seja referente aos casos pendentes de concessão ou aos benefícios já concedidos.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).
";-;Tema 165/STF - Revisão da pensão por morte concedida antes do advento da Lei nº 9.032/95., Tema 388/STF - Revisão de auxílio-acidente concedido antes do advento da Lei nº 9.032/95.
19;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"Os débitos previdenciários remanescentes pagos mediante precatório, devem ser convertidos, à data do cálculo, em quantidade de Unidade Fiscal de Referência - UFIR ou em outra unidade de referência oficial que venha a substituí-la.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).
";"Acórdão que determinou a aplicação do IGP-DI para fins de atualização do débito até a data da inclusão do crédito no orçamento.
";-
20;DIREITO PENAL;(10633) Regime inicial, (10628) Substituição da Pena, (10621) Aplicação da Pena, (10620) Parte Geral, (287) DIREITO PENAL;"É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
1. Imposição de prestação de serviços à comunidade como condição especial para concessão do regime aberto.<br />
2. É lícito ao Juiz estabelecer condições especiais para a concessão do regime aberto, em complementação daquelas previstas na LEP (art. 115 da LEP), mas não poderá adotar a esse título nenhum efeito já classificado como pena substitutiva (art. 44 do CPB).
";-;-
20;DIREITO PENAL;(10633) Regime inicial, (10628) Substituição da Pena, (10621) Aplicação da Pena, (10620) Parte Geral, (287) DIREITO PENAL;"É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
1. Imposição de prestação de serviços à comunidade como condição especial para concessão do regime aberto.<br />
2. É lícito ao Juiz estabelecer condições especiais para a concessão do regime aberto, em complementação daquelas previstas na LEP (art. 115 da LEP), mas não poderá adotar a esse título nenhum efeito já classificado como pena substitutiva (art. 44 do CPB).
";-;-
20;DIREITO PENAL;(10633) Regime inicial, (10628) Substituição da Pena, (10621) Aplicação da Pena, (10620) Parte Geral, (287) DIREITO PENAL;"É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
1. Imposição de prestação de serviços à comunidade como condição especial para concessão do regime aberto.<br />
2. É lícito ao Juiz estabelecer condições especiais para a concessão do regime aberto, em complementação daquelas previstas na LEP (art. 115 da LEP), mas não poderá adotar a esse título nenhum efeito já classificado como pena substitutiva (art. 44 do CPB).
";-;-
21;DIREITO PREVIDENCIÁRIO;(6170) Perda da qualidade de segurado, (6104) Pensão por Morte (Art. 74/9), (195) DIREITO PREVIDENCIÁRIO;"É devida a pensão por morte aos dependentes do segurado que, apesar de ter perdido essa qualidade, preencheu os requisitos legais para a obtenção de aposentadoria até a data do seu óbito.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).
";-;-
22;DIREITO PREVIDENCIÁRIO;(6107) Auxílio-Acidente (Art. 86), (195) DIREITO PREVIDENCIÁRIO, (6112) Redução da Capacidade Auditiva;"Comprovados o nexo de causalidade e a redução da capacidade laborativa, mesmo em face da disacusia em grau inferior ao estabelecido pela Tabela Fowler, subsiste o direito do obreiro ao benefício de auxílio-acidente.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
""A expressão 'por si só' contida na citada Súmula significa que o benefício acidentário não pode ser negado exclusivamente em razão do grau mínimo de disacusia apresentado pelo Segurado"".
";-;-
23;DIREITO ADMINISTRATIVO;(10946) Correção Monetária de Diferenças Pagas em Atraso;"Importa em interrupção da prescrição a confissão realizada por meio de certidão individual emitida pelo Tribunal de Justiça (...), acerca da existência de dívida de valor consolidado em favor de servidor público integrante de seu respectivo Quadro.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).
";-;-
24;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;As instituições financeiras não se sujeitam à limitação dos juros remuneratórios estipulada na Lei de Usura (Decreto 22.626/33), Súmula 596/STF.;Processos destacados de ofício pelo relator.;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.<br /><br><br /><br>Súmula 596/STF - ""As disposições do Decreto 22.626/1933 não se aplicam às taxas de juros e aos outros encargos cobrados nas operações realizadas por instituições públicas ou privadas, que integram o Sistema Financeiro Nacional.""";Tema 421/STF - Aplicação do artigo 1º da Lei de Usura, que limita a taxa de juros a 12% ao ano, aos contratos bancários.
25;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;A estipulação de juros remuneratórios superiores a 12% ao ano, por si só, não indica abusividade.;Processos destacados de ofício pelo relator.;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.";-
26;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;São inaplicáveis aos juros remuneratórios dos contratos de mútuo bancário as disposições do art. 591 c/c o art. 406 do CC/02.;Processos destacados de ofício pelo relator.;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.";-
27;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;É admitida a revisão das taxas de juros remuneratórios em situações excepcionais, desde que caracterizada a relação de consumo e que a abusividade (capaz de colocar o consumidor em desvantagem exagerada (art. 51, §1 º, do CDC) fique cabalmente demonstrada, ante às peculiaridades do julgamento em concreto.;Processos destacados de ofício pelo relator.;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.";-
28;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;O reconhecimento da abusividade nos encargos exigidos no período da normalidade contratual (juros remuneratórios e capitalização) descaracteriza a mora.;Processos destacados de ofício pelo relator.;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.";-
29;DIREITO CIVIL;(899) DIREITO CIVIL, (7770) Interpretação / Revisão de Contrato;"A simples propositura da ação de revisão de contrato não inibe a caracterização da mora do autor.
";"Processos destacados de ofício pelo relator.<br />
Observações do Ministro: ""Não descaracteriza a mora o ajuizamento isolado de ação revisional, nem mesmo quando o reconhecimento de abusividade incidir sobre os encargos inerentes ao período de inadimplência contratual"".
";"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.
";-
30;DIREITO CIVIL;(10586) Limitação de Juros, (7699) Juros de Mora - Legais / Contratuais, (9607) Contratos Bancários, (899) DIREITO CIVIL;Nos contratos bancários, não-regidos por legislação específica, os juros moratórios poderão ser convencionados até o limite de 1% ao mês.;Processos destacados de ofício pelo relator.;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.";-
31;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8961) Antecipação de Tutela / Tutela Específica;"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente:<br />
<b>i) a ação for fundada em questionamento integral ou parcial do débito;</b><br />
ii) houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ;<br />
iii) houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz.<br />
A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.
";"Processos destacados de ofício pelo relator.
";"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.
";-
32;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(9192) Tutela Provisória, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente:<br />
i) a ação for fundada em questionamento integral ou parcial do débito;<br />
<b>ii) houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ; </b><br />
iii) houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz. A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.
";"Processos destacados de ofício pelo relator.
";"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.
";-
33;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8961) Antecipação de Tutela / Tutela Específica, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente:<br />
i) a ação for fundada em questionamento integral ou parcial do débito;<br />
ii) houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ;<br />
<b>iii) houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz. A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.</b>
";"Processos destacados de ofício pelo relator.
";"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.
";-
34;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9192) Tutela Provisória;"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii) houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ; iii) houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz. A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.
";"Processos destacados de ofício pelo relator.
";"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.
";-
35;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;"A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.
";"Processos destacados de ofício pelo relator.
";"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.
";-
36;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;Nos contratos bancários, é vedado ao julgador conhecer, de ofício, da abusividade das cláusulas.;Processos destacados de ofício pelo relator.<br /><br>VER TEMA 940/STJ;"Contratos bancários que se submetem à legislação consumerista - Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.";-
37;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;"Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dados utilizados para a negativação são oriundos do CCF do Banco Central ou de outros cadastros mantidos por entidade diversas.
";"Processos destacados de ofício pelo relator.
";-;-
38;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dados utilizados para a negativação são oriundos do CCF do Banco Central ou de outros cadastros mantidos por entidade diversas.;Processos destacados de ofício pelo relator.;-;-
39;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9493) Capacidade Processual, (8842) Partes e Procuradores, (8960) Processo e Procedimento;"A mera existência de ação tendo por objeto a declaração de nulidade de registro imobiliário não é suficiente para se concluir pela ilegitimidade ativa daquele que, com base nesse mesmo registro, ajuíza ação reivindicatória.
";"Processos destacados de ofício pelo relator.<br />
O proprietário do imóvel registrado detém legitimidade para figurar no polo ativo das ações reivindicatórias, ainda que ajuizada ação tendente a invalidá-lo.
";-;-
40;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;A ausência de prévia comunicação ao consumidor da inscrição do seu nome em cadastros de proteção ao crédito, prevista no art. 43, § 2º, do CDC, enseja o direito à compensação por danos morais.;Processos destacados de ofício pelo relator.<br /><br>A ausência de prévia comunicação ao consumidor da inscrição do seu nome em cadastros de proteção ao crédito, prevista no art. 43, § 2º, do CDC, enseja o direito à compensação por danos morais, salvo quando preexista inscrição desabonadora regularmente realizada.;-;-
40;DIREITO DO CONSUMIDOR;(1156) DIREITO DO CONSUMIDOR;A ausência de prévia comunicação ao consumidor da inscrição do seu nome em cadastros de proteção ao crédito, prevista no art. 43, § 2º, do CDC, enseja o direito à compensação por danos morais.;Processos destacados de ofício pelo relator.<br /><br>A ausência de prévia comunicação ao consumidor da inscrição do seu nome em cadastros de proteção ao crédito, prevista no art. 43, § 2º, do CDC, enseja o direito à compensação por danos morais, salvo quando preexista inscrição desabonadora regularmente realizada.;-;-
