Tipo,Número,Situação,Processos Representativos,Data Afetação,Data Desafetação,Data Julgamento,Data Publicação,Data Trâns. Julgado,Ramo Direito,Assunto,Controvérsia,Tese Firmada,Ementa,Ratio Decidendi,Referência Legislativa,Decisão Admissão/Afetação,Acórdão da Admissão ou Afetação do Precedente,Acórdão do Julgamento do Mérito do Precedente,Observações,Limite Suspensão,Detalhamento abrangência suspensão específica,Decisão Suspensão,Data da Determinação de Suspensão de Processos,Link da Decisão de Suspensão,Titulo
Tema STJ,33,Transitado em julgado,,18/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Discussão acerca da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii) houver demonst",,,,,,,,Não Suspender,,,,,"Tema 33 - DIREITO PROCESSUAL CIVIL E DO TRABALHO - A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii) houver demonst"
Tema STJ,35,Transitado em julgado,,19/08/2008,,22/10/2008,10/03/2009,13/05/2010,DIREITO CIVIL,Espécies de Contratos,Discussão acerca da mora e da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,"A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.",,,,,,,,Não Suspender,,,,,"Tema 35 - Espécies de Contratos - A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção."
Tema STJ,36,Transitado em julgado,,19/08/2008,,22/10/2008,10/03/2009,13/05/2010,DIREITO DO CONSUMIDOR,Bancários,"Discute matérias, quando ativadas em ações que digam respeito a contratos bancários: a) juros remuneratórios; b) capitalização de juros; c)mora; d) comissão de permanência; e) inscrição do nome do devedor em cadastros de proteção ao crédito; f) disposiçõe","Nos contratos bancários, é vedado ao julgador conhecer, de ofício, da abusividade das cláusulas.",,,,,,,,Não Suspender,,,,,"Tema 36 - Bancários - Nos contratos bancários, é vedado ao julgador conhecer, de ofício, da abusividade das cláusulas."
Tema STJ,37,Transitado em julgado,,29/08/2008,,10/12/2008,01/04/2009,05/05/2009,DIREITO CIVIL,Indenização por Dano Moral,"Discussão sobre indenização por danos morais decorrente de inscrição do nome do devedor nos cadastros de restrição ao crédito com ausência de comunicação prévia, em especial nos casos onde o devedor já possua outras inscrições nos cadastros de devedores.","Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dado",,,,,,,,Não Suspender,,,,,"Tema 37 - Indenização por Dano Moral - Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dado"
Tema STJ,38,Transitado em julgado,,29/08/2008,,10/12/2008,01/04/2009,05/05/2009,DIREITO CIVIL,Indenização por Dano Moral,"Discussão sobre indenização por danos morais decorrente de inscrição do nome do devedor nos cadastros de restrição ao crédito com ausência de comunicação prévia, em especial nos casos onde o devedor já possua outras inscrições nos cadastros de devedores.","Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dado",,,,,,,,Não Suspender,,,,,"Tema 38 - Indenização por Dano Moral - Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dado"
Tema STJ,39,Transitado em julgado,,28/08/2008,,10/11/2010,01/02/2011,16/03/2011,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Capacidade Processual,"Questão referente à reivindicação e posse das terras que o Espólio de Anastácio Pereira Braga e Outros alegam ser de sua propriedade e que hoje formam o Condomínio Porto Rico, em Santa Maria no Distrito Federal.","A mera existência de ação tendo por objeto a declaração de nulidade de registro imobiliário não é suficiente para se concluir pela ilegitimidade ativa daquele que, com base nesse mesmo registro, ajuíza ação reivindicatória.",,,,,,,,Não Suspender,,,,,"Tema 39 - Capacidade Processual - A mera existência de ação tendo por objeto a declaração de nulidade de registro imobiliário não é suficiente para se concluir pela ilegitimidade ativa daquele que, com base nesse mesmo registro, ajuíza ação reivindicatória."
Tema STJ,40,Transitado em julgado,,28/08/2008,,10/12/2008,12/05/2009,15/06/2009,DIREITO DO CONSUMIDOR,Indenização por Dano Moral,"Discussão sobre indenização por danos morais decorrente de inscrição do nome do devedor nos cadastros de restrição ao crédito com ausência de comunicação prévia, em especial nos casos onde o devedor já possua outras inscrições nos cadastros de devedores.","A ausência de prévia comunicação ao consumidor da inscrição do seu nome em cadastros de proteção ao crédito, prevista no art. 43, § 2º, do CDC, enseja o direito à compensação por danos morais.",,,,,,,,Não Suspender,,,,,"Tema 40 - Indenização por Dano Moral - A ausência de prévia comunicação ao consumidor da inscrição do seu nome em cadastros de proteção ao crédito, prevista no art. 43, § 2º, do CDC, enseja o direito à compensação por danos morais."
Tema STJ,41,Transitado em julgado,,28/08/2008,,10/12/2008,12/05/2009,15/06/2009,DIREITO DO CONSUMIDOR,Indenização por Dano Moral,"Discute-se sobre indenização por danos morais decorrente de inscrição do nome do devedor nos cadastros de restrição ao crédito com ausência de comunicação prévia, em especial nos casos onde o devedor já possua outras inscrições nos cadastros de devedores.","Da anotação irregular em cadastro de proteção ao crédito, não cabe indenização por dano moral, quando preexistente legítima inscrição, ressalvado o direito ao cancelamento.",,,,,,,,Não Suspender,,,,,"Tema 41 - Indenização por Dano Moral - Da anotação irregular em cadastro de proteção ao crédito, não cabe indenização por dano moral, quando preexistente legítima inscrição, ressalvado o direito ao cancelamento."
Tema STJ,44,Transitado em julgado,,04/09/2008,,22/10/2008,05/11/2008,14/01/2010,DIREITO CIVIL,Prescrição e Decadência,Incidência de prescrição nos contratos de participação financeira.,"A prescrição incidente nas ações que visem à subscrição complementar de ações rege-se pelo prazo vintenário ou decenário, conforme as regras do anterior ou do atual Código Civil.",,,,,,,,Não Suspender,,,,,"Tema 44 - Prescrição e Decadência - A prescrição incidente nas ações que visem à subscrição complementar de ações rege-se pelo prazo vintenário ou decenário, conforme as regras do anterior ou do atual Código Civil."
Tema STJ,49,Transitado em julgado,,12/03/2009,,09/09/2009,18/09/2009,26/10/2009,DIREITO CIVIL,Sistema Financeiro da Habitação,"Questão referente à limitação dos juros remuneratórios ao percentual de 10% a.a., com base no art. 6º, ""e"", da Lei n. 4.380/64,  em contrato celebrado no âmbito do Sistema Financeiro de Habitação.","O art. 6º, e, da Lei n. 4.380/1964 não estabelece limitação aos juros remuneratórios nos contratos vinculados ao SFH.",,,,,,,,Não Suspender,,,,,"Tema 49 - Sistema Financeiro da Habitação - O art. 6º, e, da Lei n. 4.380/1964 não estabelece limitação aos juros remuneratórios nos contratos vinculados ao SFH."
Tema STJ,52,Transitado em julgado,,24/10/2008,,12/08/2009,16/11/2010,09/02/2011,DIREITO CIVIL,Limitação de Juros,"Questão referente à legalidade da cláusula que, em contratos bancários, prevê a cobrança da comissão de permanência na hipótese de inadimplência do consumidor.","A cobrança de comissão de permanência - cujo valor não pode ultrapassar a soma dos encargos remuneratórios e moratórios previstos no contrato - exclui a exigibilidade dos juros remuneratórios, moratórios e da multa contratual.",,,,,,,,Não Suspender,,,,,"Tema 52 - Limitação de Juros - A cobrança de comissão de permanência - cujo valor não pode ultrapassar a soma dos encargos remuneratórios e moratórios previstos no contrato - exclui a exigibilidade dos juros remuneratórios, moratórios e da multa contratual."
Tema STJ,59,Transitado em julgado,,23/03/2009,,09/09/2009,20/10/2009,26/11/2009,Dever de Informação,Dever de Informação,"Questiona-se sobre a necessidade de comprovação, mediante AR, do recebimento pelo devedor da correspondência mediante a qual ele é cientificado previamente da inscrição de seu nome em cadastros de inadimplentes.",É dispensável o aviso de recebimento (AR) na carta de comunicação ao consumidor sobre a negativação de seu nome em bancos de dados e cadastros.,,,,,,,,Não Suspender,,,,,Tema 59 - Dever de Informação - É dispensável o aviso de recebimento (AR) na carta de comunicação ao consumidor sobre a negativação de seu nome em bancos de dados e cadastros.
Tema STJ,63,Transitado em julgado,,21/08/2008,,11/03/2009,13/05/2009,04/06/2009,DIREITO DO CONSUMIDOR,Fornecimento de Energia Elétrica,"Questiona-se a legitimidade da cobrança de ICMS sobre o valor pago a título de ""demanda contratada"" de energia elétrica.",É indevida a incidência de ICMS sobre a parcela correspondente à demanda de potência elétrica contratada mas não utilizada.,,,,,,,,Não Suspender,,,,,Tema 63 - Fornecimento de Energia Elétrica - É indevida a incidência de ICMS sobre a parcela correspondente à demanda de potência elétrica contratada mas não utilizada.
Tema STJ,82,Transitado em julgado,,15/09/2008,,13/05/2009,10/06/2009,17/08/2009,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Citação,Questão referente à possibilidade de interrupção da prescrição por meio de citação por edital em ação de execução fiscal.,"A citação válida, ainda que por edital, tem o condão de interromper o fluxo do prazo prescricional.",,,,,,,,Não Suspender,,,,,"Tema 82 - Citação - A citação válida, ainda que por edital, tem o condão de interromper o fluxo do prazo prescricional."
Tema STJ,98,Transitado em julgado,,04/09/2014,,26/04/2017,22/06/2017,26/06/2018,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Possibilidade de ser imposta a multa a que alude o art. 461 do CPC, nos casos de descumprimento da obrigação de fornecer medicamentos, imposta ao ente estatal.","Possibilidade de imposição de multa diária (astreintes) a ente público, para compeli-lo a fornecer medicamento à pessoa desprovida de recursos financeiros.",,,,,,,,Não Suspender,,,,,"Tema 98 - DIREITO PROCESSUAL CIVIL E DO TRABALHO - Possibilidade de imposição de multa diária (astreintes) a ente público, para compeli-lo a fornecer medicamento à pessoa desprovida de recursos financeiros."
Tema STJ,102,Transitado em julgado,,03/02/2009,,25/03/2009,06/04/2009,13/05/2009,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Questiona-se o cabimento da citação editalícia na execução fiscal.,A citação por edital na execução fiscal é cabível quando frustradas as demais modalidades.,,,,,,,,Não Suspender,,,,,Tema 102 - DIREITO PROCESSUAL CIVIL E DO TRABALHO - A citação por edital na execução fiscal é cabível quando frustradas as demais modalidades.
Tema STJ,106,Acórdão publicado,,03/05/2017,,25/04/2018,04/05/2018,,,Fornecimento de Medicamentos,Obrigatoriedade do poder público de fornecer medicamentos não incorporados em atos normativos do SUS.,"A concessão dos medicamentos não incorporados em atos normativos do SUS exige a presença cumulativa dos seguintes requisitos:i) Comprovação, por meio de laudo médico fundamentado e circunstanciado expedido por médico que assiste o paciente, da imprescindi",,,,,,,,Não Suspender,,,,,"Tema 106 - Fornecimento de Medicamentos - A concessão dos medicamentos não incorporados em atos normativos do SUS exige a presença cumulativa dos seguintes requisitos:i) Comprovação, por meio de laudo médico fundamentado e circunstanciado expedido por médico que assiste o paciente, da imprescindi"
Tema STJ,108,Transitado em julgado,,09/03/2009,,22/04/2009,04/05/2009,05/06/2009,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Estabelecer se é cabível a exceção de pré-executividade para argüição de ilegitimidade passiva, em execução fiscal proposta contra os sócios da pessoa jurídica devedora.",Não cabe exceção de pré-executividade em execução fiscal promovida contra sócio que figura como responsável na Certidão de Dívida Ativa - CDA.,,,,,,,,Não Suspender,,,,,Tema 108 - DIREITO PROCESSUAL CIVIL E DO TRABALHO - Não cabe exceção de pré-executividade em execução fiscal promovida contra sócio que figura como responsável na Certidão de Dívida Ativa - CDA.
Tema STJ,122,Transitado em julgado,,23/03/2009,,10/06/2009,18/06/2009,28/09/2009,DIREITO TRIBUTÁRIO,IPTU/ Imposto Predial e Territorial Urbano,"Questão referente à possibilidade de responsabilização do promitente vendedor e/ou do promitente comprador pelo pagamento do IPTU na execução fiscal, diante da existência de negócio jurídico que visa à transmissão da propriedade (contrato de compromisso d",1-Tanto o promitente comprador (possuidor a qualquer título) do imóvel quanto seu proprietário/promitente vendedor (aquele que tem a propriedade registrada no Registro de Imóveis) são contribuintes responsáveis pelo pagamento do IPTU; 2-cabe à legislação ,,,,,,,,Não Suspender,,,,,Tema 122 - IPTU/ Imposto Predial e Territorial Urbano - 1-Tanto o promitente comprador (possuidor a qualquer título) do imóvel quanto seu proprietário/promitente vendedor (aquele que tem a propriedade registrada no Registro de Imóveis) são contribuintes responsáveis pelo pagamento do IPTU; 2-cabe à legislação 
Tema STJ,128,Transitado em julgado,,13/04/2009,,03/06/2009,22/06/2009,27/08/2009,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Defensoria Pública,"Discute-se a possibilidade de condenar a municipalidade em honorários advocatícios quando a parte, representada por defensor público, restar vencedora na demanda. O julgado recorrido afastou a condenação por reconhecer a existência de confusão entre credo",Os honorários advocatícios não são devidos à Defensoria Pública quando ela atua contra a pessoa jurídica de direito público à qual pertença.,,,,,,,,Não Suspender,,,,,Tema 128 - Defensoria Pública - Os honorários advocatícios não são devidos à Defensoria Pública quando ela atua contra a pessoa jurídica de direito público à qual pertença.
Tema STJ,129,Transitado em julgado,,13/04/2009,,03/06/2009,22/06/2009,27/08/2009,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Defensoria Pública,"Discute-se a possibilidade de condenar a municipalidade em honorários advocatícios quando a parte, representada por defensor público, restar vencedora na demanda. O julgado recorrido afastou a condenação por reconhecer a existência de confusão entre credo",Reconhece-se à Defensoria Pública o direito ao recebimento dos honorários advocatícios se a atuação se dá em face de ente federativo diverso do qual é parte integrante.,,,,,,,,Não Suspender,,,,,Tema 129 - Defensoria Pública - Reconhece-se à Defensoria Pública o direito ao recebimento dos honorários advocatícios se a atuação se dá em face de ente federativo diverso do qual é parte integrante.
Tema STJ,131,Transitado em julgado,,14/04/2009,,27/05/2009,09/09/2009,14/10/2009,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Intimação,"Questão referente ao termo inicial do prazo para oferecimento dos embargos à execução fiscal, quando a garantia consiste na penhora de bens ou de direitos.","O termo inicial para a oposição dos Embargos à Execução Fiscal é a data da efetiva intimação da penhora, e não a da juntada aos autos do mandado cumprido.",,,,,,,,Não Suspender,,,,,"Tema 131 - Intimação - O termo inicial para a oposição dos Embargos à Execução Fiscal é a data da efetiva intimação da penhora, e não a da juntada aos autos do mandado cumprido."
Tema STJ,132,Transitado em julgado,,20/04/2009,,23/09/2009,08/10/2009,30/03/2010,DIREITO TRIBUTÁRIO,ISS/ Imposto sobre Serviços,"Questão referente à possibilidade de utilização de interpretação extensiva dos serviços bancários constantes da Lista Anexa à Lei Complementar 116/2003 e, para os fatos jurídicos que lhe são pretéritos, da Lista Anexa ao Decreto-lei 406/68.",É legítima a incidência de ISS sobre os serviços bancários congêneres da lista anexa ao DL n. 406/1968 e à LC n. 56/1987.,,,,,,,,Não Suspender,,,,,Tema 132 - ISS/ Imposto sobre Serviços - É legítima a incidência de ISS sobre os serviços bancários congêneres da lista anexa ao DL n. 406/1968 e à LC n. 56/1987.
Tema STJ,154,Transitado em julgado,,25/05/2009,,09/09/2009,15/09/2009,03/03/2010,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Água e/ou Esgoto,"Questão referente ao reconhecimento da inexigibilidade da tarifa cobrada pelo fornecimento de água e tratamento de esgoto, em que o Tribunal de origem decidiu que (a) é legítima a cobrança progressiva da tarifa de água e (b) a prescrição aplicável ao caso",A ação de repetição de indébito de tarifas de água e esgoto sujeita-se ao prazo prescricional estabelecido no Código Civil.,,,,,,,,Não Suspender,,,,,Tema 154 - Água e/ou Esgoto - A ação de repetição de indébito de tarifas de água e esgoto sujeita-se ao prazo prescricional estabelecido no Código Civil.
Tema STJ,155,Transitado em julgado,,25/05/2009,,09/09/2009,15/09/2009,03/03/2010,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Água e/ou Esgoto,"Questão referente ao reconhecimento da inexigibilidade da tarifa cobrada pelo fornecimento de água e tratamento de esgoto, em que o Tribunal de origem decidiu que (a) é legítima a cobrança progressiva da tarifa de água e (b) a prescrição aplicável ao caso",A ação de repetição de indébito de tarifas de água e esgoto sujeita-se ao prazo prescricional estabelecido no Código Civil.,,,,,,,,Não Suspender,,,,,Tema 155 - Água e/ou Esgoto - A ação de repetição de indébito de tarifas de água e esgoto sujeita-se ao prazo prescricional estabelecido no Código Civil.
Tema STJ,156,Transitado em julgado,,25/05/2009,,25/11/2009,12/02/2010,22/03/2010,DIREITO PREVIDENCIÁRIO,Pessoa com Deficiência,Questão referente à alegação de impossibilidade de condicionamento da concessão do benefício acidentário à irreversibilidade da moléstia incapacitante.,"Será devido o auxílio-acidente quando demonstrado o nexo de causalidade entre a redução de natureza permanente da capacidade laborativa e a atividade profissional desenvolvida, sendo irrelevante a possibilidade de reversibilidade da doença.",,,,,,,,Não Suspender,,,,,"Tema 156 - Pessoa com Deficiência - Será devido o auxílio-acidente quando demonstrado o nexo de causalidade entre a redução de natureza permanente da capacidade laborativa e a atividade profissional desenvolvida, sendo irrelevante a possibilidade de reversibilidade da doença."
Tema STJ,166,Transitado em julgado,,29/05/2009,,25/11/2009,18/12/2009,03/03/2010,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Efeito Suspensivo / Impugnação / Embargos à Execução,"Questão referente à possibilidade de substituição da CDA antes da sentença de mérito, na forma do disposto no § 8º, do artigo 2º, da Lei 6.830/80, na hipótese de mudança de titularidade do imóvel sobre o qual incide o IPTU.","A Fazenda Pública pode substituir a certidão de dívida ativa (CDA) até a prolação da sentença de embargos, quando se tratar de correção de erro material ou formal, vedada a modificação do sujeito passivo da execução.",,,,,,,,Não Suspender,,,,,"Tema 166 - Efeito Suspensivo / Impugnação / Embargos à Execução - A Fazenda Pública pode substituir a certidão de dívida ativa (CDA) até a prolação da sentença de embargos, quando se tratar de correção de erro material ou formal, vedada a modificação do sujeito passivo da execução."
Tema STJ,174,Transitado em julgado,,08/06/2009,,26/08/2009,28/08/2009,01/10/2009,DIREITO TRIBUTÁRIO,IPTU/ Imposto Predial e Territorial Urbano,"Questão referente à incidência de IPTU sobre imóvel em que há exploração de atividade agrícola, à luz do Decreto-Lei 57/1966.","Não incide IPTU, mas ITR, sobre imóvel localizado na área urbana do Município, desde que comprovadamente utilizado em exploração extrativa, vegetal, agrícola, pecuária ou agroindustrial (art. 15 do DL 57/1966).",,,,,,,,Não Suspender,,,,,"Tema 174 - IPTU/ Imposto Predial e Territorial Urbano - Não incide IPTU, mas ITR, sobre imóvel localizado na área urbana do Município, desde que comprovadamente utilizado em exploração extrativa, vegetal, agrícola, pecuária ou agroindustrial (art. 15 do DL 57/1966)."
Tema STJ,176,Transitado em julgado,,08/06/2009,,12/08/2009,31/08/2009,02/10/2009,DIREITO CIVIL,Juros de Mora - Legais / Contratuais,"Discute-se se há, ou não, violação à coisa julgada e à norma do art. 406 do novo Código Civil, quando o título judicial exequendo, exarado em momento anterior ao CC/2002, fixa os juros de mora em 0,5% ao mês e, na execução do julgado, determina-se a incid","Tendo sido a sentença exequenda prolatada anteriormente à entrada em vigor do Novo Código Civil, fixado juros de 6% ao ano, correto o entendimento do Tribunal de origem ao determinar a incidência de juros de 6% ao ano até 11 de janeiro de 2003 e, a partir",,,,,,,,Não Suspender,,,,,"Tema 176 - Juros de Mora - Legais / Contratuais - Tendo sido a sentença exequenda prolatada anteriormente à entrada em vigor do Novo Código Civil, fixado juros de 6% ao ano, correto o entendimento do Tribunal de origem ao determinar a incidência de juros de 6% ao ano até 11 de janeiro de 2003 e, a partir"
Tema STJ,182,Transitado em julgado,,18/06/2009,,25/02/2010,26/04/2010,12/05/2010,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Efeito Suspensivo / Impugnação / Embargos à Execução,Discussão acerca da exibilidade do depósito prévio para o conhecimento dos embargos apresentados pelo curador especial.,É dispensado o curador especial de oferecer garantia ao Juízo para opor embargos à execução.,,,,,,,,Não Suspender,,,,,Tema 182 - Efeito Suspensivo / Impugnação / Embargos à Execução - É dispensado o curador especial de oferecer garantia ao Juízo para opor embargos à execução.
